,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Won
387,Warlock,Slark,Jakiro,Lone Druid,Bloodseeker,1
388,Zeus,Pudge,Death Prophet,Spirit Breaker,Slardar,1
389,Tiny,Chaos Knight,Leshrac,Dazzle,Razor,1
390,Gyrocopter,Pudge,Tidehunter,Shadow Demon,Kunkka,1
391,Bane,Luna,Vengeful Spirit,Juggernaut,Invoker,1
392,Nature's Prophet,Nyx Assassin,Shadow Shaman,Mirana,Slardar,1
393,Bane,Night Stalker,Keeper of the Light,Lone Druid,Troll Warlord,1
394,Weaver,Pudge,Clockwerk,Sniper,Witch Doctor,1
395,Earthshaker,Keeper of the Light,Mirana,Lifestealer,Undying,1
396,Nyx Assassin,Warlock,Gyrocopter,Axe,Pudge,1
397,Earthshaker,Invoker,Medusa,Ursa,Lion,1
398,Vengeful Spirit,Omniknight,Shadow Shaman,Luna,Riki,1
399,Lion,Riki,Visage,Juggernaut,Tinker,1
400,Spirit Breaker,Windrunner,Alchemist,Warlock,Huskar,1
401,Riki,Enigma,Troll Warlord,Lich,Vengeful Spirit,1
402,Shadow Shaman,Juggernaut,Spectre,Disruptor,Storm Spirit,1
403,Pudge,Drow Ranger,Lifestealer,Storm Spirit,Invoker,1
404,Spirit Breaker,Zeus,Nyx Assassin,Bloodseeker,Jakiro,1
405,Ogre Magi,Warlock,Bloodseeker,Slark,Drow Ranger,1
406,Luna,Timbersaw,Invoker,Alchemist,Bloodseeker,1
407,Morphling,Axe,Phantom Lancer,Zeus,Shadow Fiend,1
408,Gyrocopter,Enigma,Sand King,Crystal Maiden,Sniper,1
409,Sven,Night Stalker,Batrider,Sniper,Medusa,1
410,Earthshaker,Morphling,Silencer,Nature's Prophet,Drow Ranger,1
411,Dragon Knight,Outworld Devourer,Invoker,Slark,Kunkka,1
412,Crystal Maiden,Dazzle,Shadow Fiend,Troll Warlord,Lifestealer,1
413,Shadow Shaman,Viper,Kunkka,Treant Protector,Anti-Mage,1
414,Zeus,Mirana,Sven,Keeper of the Light,Skeleton King,1
415,Ursa,Troll Warlord,Crystal Maiden,Bounty Hunter,Tidehunter,1
416,Faceless Void,Jakiro,Pudge,Enigma,Ogre Magi,1
417,Spirit Breaker,Dragon Knight,Sniper,Invoker,Dazzle,1
418,Omniknight,Queen of Pain,Axe,Lich,Phantom Lancer,1
419,Pudge,Leshrac,Slark,Keeper of the Light,Medusa,1
420,Zeus,Dragon Knight,Mirana,Windrunner,Lion,1
421,Huskar,Night Stalker,Ogre Magi,Alchemist,Troll Warlord,1
422,Drow Ranger,Pudge,Dazzle,Kunkka,Spirit Breaker,1
423,Storm Spirit,Lich,Troll Warlord,Gyrocopter,Huskar,1
424,Mirana,Tinker,Pudge,Chen,Nyx Assassin,1
425,Witch Doctor,Alchemist,Shadow Shaman,Queen of Pain,Sven,1
426,Axe,Razor,Nature's Prophet,Shadow Shaman,Lifestealer,1
427,Slark,Shadow Fiend,Nature's Prophet,Weaver,Keeper of the Light,1
428,Storm Spirit,Phantom Lancer,Undying,Spirit Breaker,Vengeful Spirit,1
429,Doom,Clockwerk,Gyrocopter,Sven,Lich,1
430,Riki,Warlock,Sand King,Earthshaker,Nature's Prophet,1
431,Bounty Hunter,Magnus,Gyrocopter,Dazzle,Outworld Devourer,1
432,Sand King,Nyx Assassin,Windrunner,Medusa,Lifestealer,1
433,Axe,Juggernaut,Spectre,Storm Spirit,Silencer,1
434,Slark,Invoker,Chen,Enchantress,Phantom Lancer,1
435,Pudge,Clinkz,Rubick,Phantom Lancer,Witch Doctor,1
436,Naga Siren,Sven,Drow Ranger,Warlock,Gyrocopter,1
437,Brewmaster,Skeleton King,Faceless Void,Ogre Magi,Riki,1
438,Alchemist,Zeus,Shadow Demon,Drow Ranger,Invoker,1
439,Pudge,Lifestealer,Tidehunter,Silencer,Drow Ranger,1
440,Nyx Assassin,Huskar,Lina,Chaos Knight,Vengeful Spirit,1
441,Nyx Assassin,Disruptor,Sand King,Kunkka,Nature's Prophet,1
442,Skeleton King,Luna,Vengeful Spirit,Slardar,Spirit Breaker,1
443,Witch Doctor,Sven,Rubick,Bane,Nyx Assassin,1
444,Bloodseeker,Rubick,Drow Ranger,Juggernaut,Huskar,1
445,Lion,Nature's Prophet,Pudge,Dark Seer,Bounty Hunter,1
446,Clinkz,Puck,Earthshaker,Weaver,Magnus,1
447,Bloodseeker,Pudge,Kunkka,Tidehunter,Leshrac,1
448,Rubick,Clockwerk,Mirana,Windrunner,Templar Assassin,1
449,Mirana,Tidehunter,Slark,Lone Druid,Viper,1
450,Pudge,Phantom Lancer,Mirana,Keeper of the Light,Sand King,1
451,Ursa,Skeleton King,Nature's Prophet,Ogre Magi,Lich,1
452,Juggernaut,Axe,Queen of Pain,Spirit Breaker,Lich,1
453,Queen of Pain,Lich,Lifestealer,Crystal Maiden,Spirit Breaker,1
454,Anti-Mage,Sniper,Dark Seer,Invoker,Drow Ranger,1
455,Invoker,Nature's Prophet,Doom,Spirit Breaker,Pudge,1
456,Spectre,Troll Warlord,Death Prophet,Lifestealer,Omniknight,1
457,Axe,Faceless Void,Pudge,Juggernaut,Keeper of the Light,1
458,Lifestealer,Shadow Shaman,Troll Warlord,Nyx Assassin,Invoker,1
459,Bane,Juggernaut,Riki,Magnus,Axe,1
460,Ursa,Spirit Breaker,Shadow Fiend,Bounty Hunter,Disruptor,1
461,Weaver,Luna,Omniknight,Pudge,Jakiro,1
462,Keeper of the Light,Anti-Mage,Axe,Pudge,Nyx Assassin,1
463,Kunkka,Dazzle,Pudge,Invoker,Lone Druid,1
464,Phantom Assassin,Invoker,Juggernaut,Lich,Enigma,1
465,Clockwerk,Shadow Demon,Windrunner,Pudge,Axe,1
466,Naga Siren,Batrider,Night Stalker,Rubick,Mirana,1
467,Windrunner,Pudge,Earthshaker,Drow Ranger,Lion,1
468,Silencer,Brewmaster,Lifestealer,Nature's Prophet,Queen of Pain,1
469,Luna,Slark,Pudge,Dark Seer,Venomancer,1
470,Skeleton King,Bloodseeker,Silencer,Sniper,Omniknight,1
471,Juggernaut,Brewmaster,Bane,Invoker,Dark Seer,1
472,Spirit Breaker,Drow Ranger,Phantom Lancer,Lina,Axe,1
473,Tidehunter,Weaver,Spirit Breaker,Witch Doctor,Medusa,1
474,Lich,Sand King,Nature's Prophet,Weaver,Shadow Fiend,1
475,Shadow Fiend,Timbersaw,Invoker,Lina,Faceless Void,1
476,Leshrac,Tidehunter,Mirana,Windrunner,Kunkka,1
477,Axe,Timbersaw,Lina,Doom,Pugna,1
478,Bane,Sand King,Luna,Pudge,Windrunner,1
479,Clinkz,Lycanthrope,Medusa,Shadow Fiend,Kunkka,1
480,Lion,Ogre Magi,Slardar,Spirit Breaker,Templar Assassin,1
481,Faceless Void,Spirit Breaker,Crystal Maiden,Keeper of the Light,Invoker,1
482,Tiny,Zeus,Enigma,Medusa,Shadow Fiend,1
483,Night Stalker,Dark Seer,Axe,Witch Doctor,Luna,1
484,Keeper of the Light,Death Prophet,Phantom Lancer,Gyrocopter,Silencer,1
485,Shadow Fiend,Juggernaut,Keeper of the Light,Phantom Lancer,Enigma,1
486,Death Prophet,Magnus,Leshrac,Crystal Maiden,Jakiro,1
487,Lifestealer,Slark,Storm Spirit,Shadow Shaman,Sand King,1
488,Bloodseeker,Weaver,Nyx Assassin,Lina,Nature's Prophet,1
489,Silencer,Vengeful Spirit,Windrunner,Nature's Prophet,Mirana,1
490,Lifestealer,Lion,Pudge,Juggernaut,Sniper,1
491,Queen of Pain,Lone Druid,Tidehunter,Sniper,Lina,1
492,Templar Assassin,Puck,Warlock,Phantom Lancer,Enchantress,1
493,Lich,Enigma,Axe,Magnus,Slark,1
494,Troll Warlord,Slark,Phantom Lancer,Invoker,Alchemist,1
495,Sniper,Queen of Pain,Enigma,Spirit Breaker,Nyx Assassin,1
496,Alchemist,Leshrac,Axe,Undying,Magnus,1
497,Tiny,Bane,Vengeful Spirit,Nature's Prophet,Shadow Fiend,1
498,Sven,Zeus,Spectre,Rubick,Lone Druid,1
499,Rubick,Bounty Hunter,Sven,Dragon Knight,Juggernaut,1
500,Drow Ranger,Lion,Lifestealer,Outworld Devourer,Pudge,1
501,Dark Seer,Slark,Invoker,Doom,Batrider,1
502,Windrunner,Magnus,Troll Warlord,Tiny,Medusa,1
503,Viper,Ancient Apparition,Lion,Treant Protector,Tidehunter,1
504,Troll Warlord,Night Stalker,Skeleton King,Sniper,Puck,1
505,Centaur Warrunner,Dark Seer,Witch Doctor,Mirana,Lion,1
506,Clockwerk,Dark Seer,Naga Siren,Pugna,Queen of Pain,1
507,Zeus,Faceless Void,Pudge,Keeper of the Light,Nature's Prophet,1
508,Troll Warlord,Mirana,Windrunner,Tidehunter,Shadow Fiend,1
509,Lifestealer,Mirana,Keeper of the Light,Weaver,Luna,1
510,Omniknight,Night Stalker,Spectre,Bane,Anti-Mage,1
511,Anti-Mage,Tidehunter,Storm Spirit,Necrolyte,Night Stalker,1
512,Night Stalker,Lone Druid,Rubick,Pugna,Troll Warlord,1
513,Leshrac,Batrider,Jakiro,Sven,Dark Seer,1
514,Gyrocopter,Troll Warlord,Bounty Hunter,Queen of Pain,Sand King,1
515,Riki,Sand King,Jakiro,Clinkz,Windrunner,1
516,Axe,Nyx Assassin,Spirit Breaker,Sand King,Outworld Devourer,1
517,Windrunner,Mirana,Timbersaw,Faceless Void,Tidehunter,1
518,Tidehunter,Nature's Prophet,Faceless Void,Razor,Lina,1
519,Alchemist,Tiny,Troll Warlord,Luna,Centaur Warrunner,1
520,Dark Seer,Pudge,Lifestealer,Invoker,Vengeful Spirit,1
521,Dazzle,Tinker,Crystal Maiden,Phantom Lancer,Lone Druid,1
522,Queen of Pain,Puck,Axe,Venomancer,Ursa,1
523,Lifestealer,Spirit Breaker,Queen of Pain,Rubick,Drow Ranger,1
524,Beastmaster,Windrunner,Jakiro,Crystal Maiden,Drow Ranger,1
525,Pudge,Kunkka,Invoker,Windrunner,Lifestealer,1
526,Kunkka,Magnus,Leshrac,Nature's Prophet,Centaur Warrunner,1
527,Templar Assassin,Lifestealer,Crystal Maiden,Ogre Magi,Anti-Mage,1
528,Bloodseeker,Earthshaker,Clockwerk,Invoker,Batrider,1
529,Dragon Knight,Lion,Outworld Devourer,Ancient Apparition,Shadow Fiend,1
530,Troll Warlord,Treant Protector,Pudge,Witch Doctor,Anti-Mage,1
531,Viper,Crystal Maiden,Lina,Gyrocopter,Centaur Warrunner,1
532,Jakiro,Bloodseeker,Spirit Breaker,Mirana,Shadow Demon,1
533,Dark Seer,Axe,Ancient Apparition,Phantom Assassin,Nature's Prophet,1
534,Crystal Maiden,Drow Ranger,Kunkka,Bane,Death Prophet,1
535,Dark Seer,Riki,Gyrocopter,Visage,Bane,1
536,Ogre Magi,Disruptor,Drow Ranger,Lone Druid,Bloodseeker,1
537,Queen of Pain,Gyrocopter,Weaver,Chen,Kunkka,1
538,Sven,Shadow Fiend,Windrunner,Dark Seer,Lone Druid,1
539,Shadow Shaman,Axe,Riki,Pudge,Slark,1
540,Dazzle,Slardar,Nyx Assassin,Invoker,Tidehunter,1
541,Ogre Magi,Meepo,Slardar,Invoker,Clinkz,1
542,Kunkka,Juggernaut,Enigma,Bounty Hunter,Nyx Assassin,1
543,Pudge,Tidehunter,Phantom Assassin,Lich,Luna,1
544,Slark,Centaur Warrunner,Tiny,Luna,Faceless Void,1
545,Silencer,Slark,Zeus,Huskar,Clockwerk,1
546,Silencer,Juggernaut,Batrider,Witch Doctor,Nyx Assassin,1
547,Omniknight,Invoker,Pudge,Witch Doctor,Troll Warlord,1
548,Jakiro,Juggernaut,Nature's Prophet,Axe,Bloodseeker,1
549,Pudge,Viper,Tidehunter,Tinker,Lone Druid,1
550,Slark,Timbersaw,Templar Assassin,Dark Seer,Bounty Hunter,1
551,Keeper of the Light,Nature's Prophet,Troll Warlord,Warlock,Zeus,1
552,Pudge,Clockwerk,Templar Assassin,Dark Seer,Invoker,1
553,Magnus,Rubick,Weaver,Invoker,Clockwerk,1
554,Huskar,Phantom Assassin,Crystal Maiden,Silencer,Kunkka,1
555,Jakiro,Shadow Shaman,Nyx Assassin,Faceless Void,Luna,1
556,Magnus,Dark Seer,Gyrocopter,Visage,Drow Ranger,1
557,Luna,Vengeful Spirit,Drow Ranger,Windrunner,Doom,1
558,Sniper,Wisp,Tiny,Bounty Hunter,Leshrac,1
559,Visage,Earthshaker,Lycanthrope,Lion,Razor,1
560,Lion,Viper,Ancient Apparition,Treant Protector,Morphling,1
561,Nyx Assassin,Lycanthrope,Faceless Void,Dazzle,Rubick,1
562,Axe,Pudge,Riki,Faceless Void,Windrunner,1
563,Juggernaut,Alchemist,Invoker,Jakiro,Spectre,1
564,Bounty Hunter,Leshrac,Slark,Dazzle,Doom,1
565,Pudge,Windrunner,Crystal Maiden,Omniknight,Anti-Mage,1
566,Juggernaut,Shadow Shaman,Pudge,Silencer,Venomancer,1
567,Lich,Crystal Maiden,Lion,Spectre,Bounty Hunter,1
568,Windrunner,Lifestealer,Sven,Wisp,Queen of Pain,1
569,Doom,Puck,Drow Ranger,Kunkka,Clockwerk,1
570,Kunkka,Lion,Rubick,Tidehunter,Lycanthrope,1
571,Pudge,Sand King,Warlock,Tidehunter,Phantom Assassin,1
572,Clockwerk,Tinker,Spectre,Lina,Ogre Magi,1
573,Windrunner,Nature's Prophet,Faceless Void,Witch Doctor,Nyx Assassin,1
574,Faceless Void,Shadow Demon,Tidehunter,Luna,Ogre Magi,1
575,Morphling,Kunkka,Crystal Maiden,Nature's Prophet,Death Prophet,1
576,Dark Seer,Pudge,Tidehunter,Naga Siren,Tinker,1
577,Pudge,Naga Siren,Necrolyte,Tiny,Shadow Shaman,1
578,Earthshaker,Juggernaut,Night Stalker,Spectre,Pugna,1
579,Shadow Fiend,Vengeful Spirit,Drow Ranger,Rubick,Tidehunter,1
580,Zeus,Spirit Breaker,Pugna,Templar Assassin,Pudge,1
581,Earthshaker,Zeus,Invoker,Medusa,Skeleton King,1
582,Omniknight,Tidehunter,Windrunner,Bounty Hunter,Keeper of the Light,1
583,Pudge,Phantom Lancer,Shadow Shaman,Viper,Silencer,1
584,Lifestealer,Juggernaut,Vengeful Spirit,Sand King,Shadow Demon,1
585,Medusa,Phantom Lancer,Zeus,Rubick,Axe,1
586,Ancient Apparition,Chaos Knight,Lifestealer,Wisp,Storm Spirit,1
587,Anti-Mage,Nature's Prophet,Venomancer,Jakiro,Faceless Void,1
588,Pudge,Alchemist,Ursa,Phantom Assassin,Skeleton King,1
589,Wisp,Tiny,Venomancer,Invoker,Troll Warlord,1
590,Alchemist,Nyx Assassin,Visage,Chen,Tiny,1
591,Chen,Crystal Maiden,Lifestealer,Night Stalker,Bounty Hunter,1
592,Huskar,Drow Ranger,Dazzle,Axe,Pudge,1
593,Batrider,Disruptor,Pudge,Drow Ranger,Omniknight,1
594,Night Stalker,Windrunner,Sand King,Spirit Breaker,Death Prophet,1
595,Shadow Fiend,Kunkka,Lone Druid,Bane,Drow Ranger,1
596,Spirit Breaker,Omniknight,Chen,Phantom Lancer,Night Stalker,1
597,Slark,Drow Ranger,Pugna,Undying,Clinkz,1
598,Huskar,Disruptor,Razor,Necrolyte,Slark,1
599,Night Stalker,Disruptor,Sand King,Tidehunter,Huskar,1
600,Lion,Pudge,Phantom Lancer,Axe,Luna,1
601,Bounty Hunter,Omniknight,Silencer,Skeleton King,Vengeful Spirit,1
602,Pudge,Invoker,Windrunner,Lion,Morphling,1
603,Necrolyte,Razor,Tidehunter,Storm Spirit,Warlock,1
604,Zeus,Sniper,Centaur Warrunner,Vengeful Spirit,Weaver,1
605,Invoker,Slark,Enchantress,Tiny,Sniper,1
606,Viper,Vengeful Spirit,Spirit Breaker,Drow Ranger,Troll Warlord,1
607,Pudge,Lion,Troll Warlord,Nature's Prophet,Nyx Assassin,1
608,Troll Warlord,Enchantress,Weaver,Storm Spirit,Silencer,1
609,Crystal Maiden,Dazzle,Faceless Void,Phantom Assassin,Broodmother,1
610,Spirit Breaker,Clinkz,Rubick,Brewmaster,Troll Warlord,1
611,Alchemist,Zeus,Outworld Devourer,Troll Warlord,Lifestealer,1
612,Lifestealer,Nyx Assassin,Silencer,Shadow Fiend,Chaos Knight,1
613,Riki,Silencer,Spectre,Pudge,Necrolyte,1
614,Ursa,Shadow Demon,Earthshaker,Dark Seer,Gyrocopter,1
615,Phantom Assassin,Lina,Centaur Warrunner,Ancient Apparition,Slark,1
616,Night Stalker,Lone Druid,Clockwerk,Dark Seer,Anti-Mage,1
617,Storm Spirit,Lifestealer,Keeper of the Light,Naga Siren,Pudge,1
618,Zeus,Anti-Mage,Jakiro,Lich,Faceless Void,1
619,Dragon Knight,Enigma,Chen,Drow Ranger,Viper,1
620,Kunkka,Witch Doctor,Chen,Alchemist,Clockwerk,1
621,Chaos Knight,Shadow Demon,Queen of Pain,Shadow Fiend,Wisp,1
622,Shadow Shaman,Rubick,Omniknight,Lifestealer,Gyrocopter,1
623,Centaur Warrunner,Chaos Knight,Queen of Pain,Crystal Maiden,Lion,1
624,Faceless Void,Centaur Warrunner,Dark Seer,Warlock,Invoker,1
625,Warlock,Nyx Assassin,Bounty Hunter,Alchemist,Rubick,1
626,Magnus,Treant Protector,Bloodseeker,Morphling,Queen of Pain,1
627,Bloodseeker,Earthshaker,Windrunner,Night Stalker,Lion,1
628,Sniper,Tiny,Dragon Knight,Ancient Apparition,Enchantress,1
629,Nature's Prophet,Medusa,Alchemist,Necrolyte,Clinkz,1
630,Drow Ranger,Spectre,Spirit Breaker,Crystal Maiden,Pudge,1
631,Viper,Alchemist,Timbersaw,Centaur Warrunner,Rubick,1
632,Crystal Maiden,Lone Druid,Windrunner,Juggernaut,Puck,1
633,Lion,Batrider,Warlock,Razor,Pugna,1
634,Sniper,Troll Warlord,Dazzle,Ogre Magi,Night Stalker,1
635,Morphling,Jakiro,Skeleton King,Sven,Shadow Fiend,1
636,Skeleton King,Kunkka,Drow Ranger,Beastmaster,Sniper,1
637,Lion,Riki,Huskar,Drow Ranger,Spirit Breaker,1
638,Pugna,Tiny,Pudge,Centaur Warrunner,Faceless Void,1
639,Clockwerk,Timbersaw,Gyrocopter,Slardar,Ursa,1
640,Viper,Spirit Breaker,Omniknight,Nyx Assassin,Windrunner,1
641,Sniper,Weaver,Dazzle,Zeus,Keeper of the Light,1
642,Axe,Razor,Puck,Shadow Fiend,Juggernaut,1
643,Axe,Juggernaut,Ursa,Kunkka,Bane,1
644,Keeper of the Light,Queen of Pain,Axe,Slark,Puck,1
645,Windrunner,Lion,Chaos Knight,Undying,Rubick,1
646,Tidehunter,Weaver,Timbersaw,Dark Seer,Nyx Assassin,1
647,Kunkka,Omniknight,Leshrac,Zeus,Juggernaut,1
648,Chen,Zeus,Lone Druid,Beastmaster,Leshrac,1
649,Earthshaker,Clinkz,Windrunner,Meepo,Lina,1
650,Tinker,Storm Spirit,Doom,Venomancer,Silencer,1
651,Earthshaker,Anti-Mage,Clockwerk,Jakiro,Puck,1
652,Beastmaster,Enigma,Phantom Assassin,Lifestealer,Bloodseeker,1
653,Pugna,Skeleton King,Pudge,Venomancer,Ursa,1
654,Drow Ranger,Windrunner,Pudge,Troll Warlord,Medusa,1
655,Silencer,Drow Ranger,Pudge,Bane,Keeper of the Light,1
656,Nature's Prophet,Clinkz,Alchemist,Rubick,Troll Warlord,1
657,Weaver,Omniknight,Zeus,Lifestealer,Nyx Assassin,1
658,Sven,Shadow Fiend,Bane,Skeleton King,Shadow Shaman,1
659,Templar Assassin,Phantom Lancer,Meepo,Dragon Knight,Drow Ranger,1
660,Viper,Drow Ranger,Undying,Vengeful Spirit,Spirit Breaker,1
661,Jakiro,Tinker,Bloodseeker,Mirana,Silencer,1
662,Necrolyte,Lion,Shadow Fiend,Timbersaw,Warlock,1
663,Anti-Mage,Zeus,Centaur Warrunner,Naga Siren,Tiny,1
664,Templar Assassin,Venomancer,Viper,Doom,Rubick,1
665,Sven,Omniknight,Dragon Knight,Outworld Devourer,Rubick,1
666,Windrunner,Drow Ranger,Disruptor,Pudge,Nature's Prophet,1
667,Juggernaut,Sniper,Nature's Prophet,Beastmaster,Rubick,1
668,Anti-Mage,Slark,Ursa,Warlock,Phantom Lancer,1
669,Dazzle,Sand King,Clinkz,Centaur Warrunner,Storm Spirit,1
670,Spectre,Phantom Lancer,Ancient Apparition,Wisp,Pudge,1
671,Troll Warlord,Outworld Devourer,Razor,Venomancer,Drow Ranger,1
672,Omniknight,Troll Warlord,Nyx Assassin,Tiny,Sand King,1
673,Nyx Assassin,Pudge,Keeper of the Light,Chaos Knight,Shadow Fiend,1
674,Enchantress,Zeus,Centaur Warrunner,Tiny,Morphling,1
675,Sniper,Drow Ranger,Crystal Maiden,Broodmother,Clinkz,1
676,Nature's Prophet,Razor,Warlock,Dragon Knight,Queen of Pain,1
677,Bounty Hunter,Phantom Lancer,Pudge,Mirana,Puck,1
678,Nature's Prophet,Omniknight,Brewmaster,Venomancer,Sniper,1
679,Viper,Sand King,Invoker,Centaur Warrunner,Disruptor,1
680,Shadow Shaman,Sand King,Vengeful Spirit,Morphling,Lifestealer,1
681,Centaur Warrunner,Lich,Nyx Assassin,Dazzle,Faceless Void,1
682,Mirana,Tidehunter,Kunkka,Rubick,Dazzle,1
683,Gyrocopter,Lifestealer,Troll Warlord,Lina,Windrunner,1
684,Invoker,Kunkka,Vengeful Spirit,Faceless Void,Lifestealer,1
685,Dragon Knight,Shadow Shaman,Tinker,Sand King,Silencer,1
686,Storm Spirit,Anti-Mage,Outworld Devourer,Venomancer,Windrunner,1
687,Drow Ranger,Queen of Pain,Sven,Doom,Outworld Devourer,1
688,Broodmother,Bloodseeker,Queen of Pain,Vengeful Spirit,Sven,1
689,Tiny,Shadow Shaman,Invoker,Rubick,Anti-Mage,1
690,Magnus,Bounty Hunter,Pudge,Necrolyte,Lich,1
691,Necrolyte,Meepo,Pudge,Slardar,Clockwerk,1
692,Faceless Void,Rubick,Sand King,Juggernaut,Sniper,1
693,Skeleton King,Treant Protector,Broodmother,Invoker,Slardar,1
694,Slardar,Mirana,Zeus,Troll Warlord,Sniper,1
695,Beastmaster,Silencer,Treant Protector,Slark,Sniper,1
696,Keeper of the Light,Puck,Anti-Mage,Shadow Fiend,Lifestealer,1
697,Clockwerk,Alchemist,Skeleton King,Viper,Treant Protector,1
698,Wisp,Slardar,Sven,Batrider,Kunkka,1
699,Clinkz,Dark Seer,Phantom Lancer,Nyx Assassin,Ancient Apparition,1
700,Phantom Assassin,Beastmaster,Templar Assassin,Lycanthrope,Jakiro,1
701,Riki,Enigma,Beastmaster,Kunkka,Zeus,1
702,Warlock,Luna,Bane,Kunkka,Undying,1
703,Faceless Void,Mirana,Tinker,Venomancer,Outworld Devourer,1
704,Undying,Tinker,Sniper,Troll Warlord,Spirit Breaker,1
705,Lifestealer,Silencer,Crystal Maiden,Disruptor,Juggernaut,1
706,Magnus,Kunkka,Windrunner,Lone Druid,Lycanthrope,1
707,Lich,Ancient Apparition,Queen of Pain,Luna,Warlock,1
708,Anti-Mage,Mirana,Clinkz,Crystal Maiden,Drow Ranger,1
709,Luna,Lone Druid,Tidehunter,Warlock,Zeus,1
710,Sven,Invoker,Naga Siren,Slardar,Tidehunter,1
711,Puck,Gyrocopter,Bounty Hunter,Sven,Lina,1
712,Nature's Prophet,Clockwerk,Mirana,Death Prophet,Weaver,1
713,Troll Warlord,Magnus,Jakiro,Doom,Anti-Mage,1
714,Doom,Chaos Knight,Keeper of the Light,Brewmaster,Puck,1
715,Huskar,Bloodseeker,Witch Doctor,Bounty Hunter,Outworld Devourer,1
716,Vengeful Spirit,Treant Protector,Troll Warlord,Kunkka,Sand King,1
717,Nyx Assassin,Queen of Pain,Tidehunter,Lion,Lifestealer,1
718,Batrider,Phantom Assassin,Troll Warlord,Wisp,Tidehunter,1
719,Jakiro,Drow Ranger,Bane,Beastmaster,Vengeful Spirit,1
720,Necrolyte,Omniknight,Gyrocopter,Centaur Warrunner,Jakiro,1
721,Drow Ranger,Disruptor,Mirana,Nature's Prophet,Centaur Warrunner,1
722,Tinker,Clockwerk,Nyx Assassin,Ogre Magi,Bane,1
723,Kunkka,Warlock,Wisp,Invoker,Pudge,1
724,Lion,Pudge,Faceless Void,Lone Druid,Windrunner,1
725,Chaos Knight,Luna,Lina,Shadow Shaman,Tinker,1
726,Troll Warlord,Wisp,Queen of Pain,Keeper of the Light,Broodmother,1
727,Puck,Warlock,Dazzle,Sniper,Lifestealer,1
728,Bounty Hunter,Witch Doctor,Centaur Warrunner,Weaver,Lion,1
729,Vengeful Spirit,Undying,Earthshaker,Broodmother,Queen of Pain,1
730,Lifestealer,Clockwerk,Venomancer,Nature's Prophet,Nyx Assassin,1
731,Sniper,Pudge,Bounty Hunter,Lifestealer,Venomancer,1
732,Mirana,Storm Spirit,Juggernaut,Alchemist,Ogre Magi,1
733,Gyrocopter,Earthshaker,Tidehunter,Clinkz,Keeper of the Light,1
734,Sniper,Phantom Assassin,Drow Ranger,Vengeful Spirit,Necrolyte,1
735,Lifestealer,Keeper of the Light,Bounty Hunter,Shadow Fiend,Enchantress,1
736,Nature's Prophet,Rubick,Phantom Lancer,Morphling,Pudge,1
737,Pudge,Storm Spirit,Juggernaut,Nature's Prophet,Windrunner,1
738,Naga Siren,Night Stalker,Shadow Fiend,Lone Druid,Visage,1
739,Lion,Doom,Batrider,Medusa,Pugna,1
740,Tiny,Storm Spirit,Silencer,Weaver,Shadow Demon,1
741,Slark,Wisp,Phantom Lancer,Shadow Shaman,Tidehunter,1
742,Invoker,Gyrocopter,Axe,Rubick,Venomancer,1
743,Queen of Pain,Sand King,Shadow Fiend,Ancient Apparition,Gyrocopter,1
744,Beastmaster,Medusa,Outworld Devourer,Pugna,Chen,1
745,Sven,Shadow Demon,Wisp,Invoker,Dark Seer,1
746,Keeper of the Light,Phantom Lancer,Tidehunter,Queen of Pain,Lone Druid,1
747,Windrunner,Venomancer,Juggernaut,Lifestealer,Nyx Assassin,1
748,Rubick,Weaver,Tidehunter,Anti-Mage,Leshrac,1
749,Death Prophet,Brewmaster,Lycanthrope,Weaver,Sniper,1
750,Slark,Lifestealer,Zeus,Rubick,Leshrac,1
751,Naga Siren,Beastmaster,Silencer,Gyrocopter,Shadow Fiend,1
752,Crystal Maiden,Juggernaut,Gyrocopter,Batrider,Bounty Hunter,1
753,Bane,Phantom Assassin,Templar Assassin,Tinker,Lifestealer,1
754,Keeper of the Light,Dazzle,Razor,Silencer,Morphling,1
755,Axe,Keeper of the Light,Skeleton King,Clockwerk,Zeus,1
756,Phantom Lancer,Invoker,Pudge,Nature's Prophet,Kunkka,1
757,Invoker,Drow Ranger,Keeper of the Light,Troll Warlord,Bloodseeker,1
758,Invoker,Clockwerk,Chen,Luna,Magnus,1
759,Phantom Lancer,Shadow Demon,Doom,Keeper of the Light,Storm Spirit,1
760,Nyx Assassin,Disruptor,Juggernaut,Ogre Magi,Shadow Fiend,1
761,Dazzle,Tidehunter,Treant Protector,Death Prophet,Drow Ranger,1
762,Nature's Prophet,Vengeful Spirit,Kunkka,Meepo,Drow Ranger,1
763,Tinker,Puck,Lifestealer,Nature's Prophet,Visage,1
764,Invoker,Puck,Axe,Vengeful Spirit,Phantom Lancer,1
765,Troll Warlord,Crystal Maiden,Venomancer,Lifestealer,Sniper,1
766,Sven,Kunkka,Enigma,Wisp,Puck,1
767,Clinkz,Razor,Queen of Pain,Alchemist,Lone Druid,1
768,Centaur Warrunner,Storm Spirit,Razor,Shadow Shaman,Sand King,1
769,Ogre Magi,Dazzle,Invoker,Gyrocopter,Alchemist,1
770,Gyrocopter,Dark Seer,Bane,Queen of Pain,Lina,1
